direction,dayType,departureTime,destination,note
"UP","WEEKDAY","00:06","浄心",""
"UP","WEEKDAY","05:37","上小田井",""
"UP","WEEKDAY","05:49","犬山",""
"UP","WEEKDAY","05:59","上小田井",""
"UP","WEEKDAY","06:07","犬山",""
"UP","WEEKDAY","06:17","上小田井",""
"UP","WEEKDAY","06:25","上小田井",""
"UP","WEEKDAY","06:30","岩倉","急行"
"UP","WEEKDAY","06:35","犬山","急行"
"UP","WEEKDAY","06:39","上小田井",""
"UP","WEEKDAY","06:44","犬山",""
"UP","WEEKDAY","06:48","上小田井",""
"UP","WEEKDAY","06:53","上小田井",""
"UP","WEEKDAY","06:58","上小田井",""
"UP","WEEKDAY","07:03","岩倉","急行"
"UP","WEEKDAY","07:07","上小田井",""
"UP","WEEKDAY","07:12","上小田井",""
"UP","WEEKDAY","07:16","岩倉",""
"UP","WEEKDAY","07:21","上小田井",""
"UP","WEEKDAY","07:25","犬山","急行"
"UP","WEEKDAY","07:30","上小田井",""
"UP","WEEKDAY","07:34","犬山",""
"UP","WEEKDAY","07:39","上小田井",""
"UP","WEEKDAY","07:43","扶桑",""
"UP","WEEKDAY","07:48","上小田井",""
"UP","WEEKDAY","07:52","上小田井",""
"UP","WEEKDAY","07:57","上小田井",""
"UP","WEEKDAY","08:01","上小田井",""
"UP","WEEKDAY","08:06","犬山",""
"UP","WEEKDAY","08:10","上小田井",""
"UP","WEEKDAY","08:15","上小田井",""
"UP","WEEKDAY","08:20","上小田井",""
"UP","WEEKDAY","08:25","上小田井",""
"UP","WEEKDAY","08:29","上小田井",""
"UP","WEEKDAY","08:34","犬山",""
"UP","WEEKDAY","08:38","上小田井",""
"UP","WEEKDAY","08:43","上小田井",""
"UP","WEEKDAY","08:47","岩倉",""
"UP","WEEKDAY","08:53","上小田井",""
"UP","WEEKDAY","08:58","上小田井",""
"UP","WEEKDAY","09:04","上小田井",""
"UP","WEEKDAY","09:10","上小田井",""
"UP","WEEKDAY","09:16","上小田井",""
"UP","WEEKDAY","09:23","上小田井",""
"UP","WEEKDAY","09:29","上小田井",""
"UP","WEEKDAY","09:37","上小田井",""
"UP","WEEKDAY","09:44","上小田井",""
"UP","WEEKDAY","09:52","上小田井",""
"UP","WEEKDAY","10:00","上小田井",""
"UP","WEEKDAY","10:08","上小田井",""
"UP","WEEKDAY","10:16","上小田井",""
"UP","WEEKDAY","10:25","上小田井",""
"UP","WEEKDAY","10:35","上小田井",""
"UP","WEEKDAY","10:45","上小田井",""
"UP","WEEKDAY","10:55","上小田井",""
"UP","WEEKDAY","11:05","上小田井",""
"UP","WEEKDAY","11:15","上小田井",""
"UP","WEEKDAY","11:25","上小田井",""
"UP","WEEKDAY","11:35","上小田井",""
"UP","WEEKDAY","11:45","上小田井",""
"UP","WEEKDAY","11:55","上小田井",""
"UP","WEEKDAY","12:05","上小田井",""
"UP","WEEKDAY","12:15","上小田井",""
"UP","WEEKDAY","12:25","上小田井",""
"UP","WEEKDAY","12:35","上小田井",""
"UP","WEEKDAY","12:45","上小田井",""
"UP","WEEKDAY","12:55","上小田井",""
"UP","WEEKDAY","13:05","上小田井",""
"UP","WEEKDAY","13:15","上小田井",""
"UP","WEEKDAY","13:25","上小田井",""
"UP","WEEKDAY","13:35","上小田井",""
